# Diez compuestos de una biblioteca de cribado frente a una diana con estructura conocida.
# score: puntuacion de acoplamiento en kcal/mol (mas negativa, mejor colocada la pose).
# bits_compuesto / bits_referencia / bits_comunes: recuentos de bits activos de la huella
# del compuesto, de la huella del ligando de referencia y de los bits comunes a ambas.
compuesto	mw	logp	hbd	hba	score	bits_compuesto	bits_referencia	bits_comunes
CMP-01	349.4	2.51	2	5	-10.20	62	64	57
CMP-02	411.9	3.84	1	6	-9.85	58	64	21
CMP-03	376.5	3.10	2	5	-9.60	60	64	49
CMP-04	524.7	5.62	6	11	-9.40	71	64	18
CMP-05	402.4	3.95	1	7	-9.15	57	64	20
CMP-06	318.3	1.92	3	6	-8.70	54	64	44
CMP-07	289.7	1.45	2	4	-8.05	48	64	31
CMP-08	455.5	4.71	4	9	-7.60	66	64	26
CMP-09	612.8	6.30	7	13	-7.10	78	64	15
CMP-10	265.3	0.88	1	3	-6.35	41	64	19
